block,baseline_method,distance_nm,speed_pairs_used_for_drift,drift_supported_pixels,common_drift_median_pN_per_min,common_drift_q25_pN_per_min,common_drift_q75_pN_per_min,absolute_center_adjustment_median_pN,absolute_center_adjustment_max_pN,claim_status
1,linear_drift_corrected,20.0,3,64,-20.743079818038623,-21.814862917112812,-19.17165890830444,11.52783259970704,20.244659669494695,linear common-drift sensitivity only; nonlinear relaxation remains
2,linear_drift_corrected,95.0,3,64,-2.124639130856127,-2.3909600021961133,-1.7484330095792853,0.34632635892725006,0.7181457123391226,linear common-drift sensitivity only; nonlinear relaxation remains
2,linear_drift_corrected,100.0,3,64,-1.8681139171794343,-2.0677699781723273,-1.4586734235284946,0.2960027518438402,0.6704835320036011,linear common-drift sensitivity only; nonlinear relaxation remains
2,linear_drift_corrected,105.0,3,64,-1.6433488658514421,-1.8789849860947774,-1.2050998714805738,0.2467198872870906,0.612385861848324,linear common-drift sensitivity only; nonlinear relaxation remains
2,linear_drift_corrected,110.0,3,64,-1.3929924973424255,-1.7119921202702515,-1.0109954753519625,0.2060902233521027,0.5578806128228777,linear common-drift sensitivity only; nonlinear relaxation remains
2,linear_drift_corrected,115.0,3,64,-1.1971508484831044,-1.4435062969350287,-0.8600533702308338,0.1654589145003431,0.5134690618719304,linear common-drift sensitivity only; nonlinear relaxation remains
2,linear_drift_corrected,120.0,3,64,-1.0923367578031085,-1.334449444292221,-0.7485672404994312,0.15238396451739789,0.4799544816219914,linear common-drift sensitivity only; nonlinear relaxation remains
2,linear_drift_corrected,125.0,3,64,-0.9335602016376132,-1.1679773961838174,-0.5933186353022735,0.12092410378218155,0.4536507975163069,linear common-drift sensitivity only; nonlinear relaxation remains
2,linear_drift_corrected,130.0,3,64,-0.7749327369329169,-1.0256028579294778,-0.5814651363515526,0.11006255546124066,0.3837654982922025,linear common-drift sensitivity only; nonlinear relaxation remains
2,linear_drift_corrected,135.0,3,64,-0.6575972498298805,-0.9741456603643999,-0.4558943657993111,0.09246141816320375,0.3733093851102035,linear common-drift sensitivity only; nonlinear relaxation remains
2,linear_drift_corrected,140.0,3,64,-0.5742019651041541,-0.8185061936480101,-0.33590589973877033,0.07982163004612419,0.36082692275493766,linear common-drift sensitivity only; nonlinear relaxation remains
2,linear_drift_corrected,145.0,3,64,-0.5217599836492034,-0.7510832307204851,-0.3004813468948915,0.07133287120049214,0.32262609836319633,linear common-drift sensitivity only; nonlinear relaxation remains
2,linear_drift_corrected,150.0,3,64,-0.4311486199577731,-0.6689124256556414,-0.24551812689748964,0.061730743674608846,0.30883831598545,linear common-drift sensitivity only; nonlinear relaxation remains
2,linear_drift_corrected,155.0,3,64,-0.3865119983129194,-0.602772933522684,-0.16927975755127356,0.05241210932882612,0.28216338511477534,linear common-drift sensitivity only; nonlinear relaxation remains
2,linear_drift_corrected,160.0,3,64,-0.4079034645424221,-0.5415896848325656,-0.1116918875709953,0.04701452376220061,0.2824922037355364,linear common-drift sensitivity only; nonlinear relaxation remains
2,linear_drift_corrected,165.0,3,64,-0.32951368894651856,-0.43798125791383613,-0.07901967003678974,0.04016442384685348,0.2336808356739053,linear common-drift sensitivity only; nonlinear relaxation remains
2,linear_drift_corrected,170.0,3,64,-0.2607506498614056,-0.4769327400534806,-0.12695807445099022,0.03863441926465683,0.23917070511630634,linear common-drift sensitivity only; nonlinear relaxation remains
2,linear_drift_corrected,175.0,3,64,-0.22175680691426497,-0.3534564599366668,-0.11074987172547253,0.036317214100689776,0.20336624750929522,linear common-drift sensitivity only; nonlinear relaxation remains
2,linear_drift_corrected,180.0,3,64,-0.17226628622820148,-0.40451681349107715,-0.03522738634040535,0.028392304089138953,0.19215473726554588,linear common-drift sensitivity only; nonlinear relaxation remains
2,linear_drift_corrected,185.0,3,64,-0.1895997057407643,-0.34678494436568447,-0.01644185904865663,0.02994365400459298,0.19427419939712376,linear common-drift sensitivity only; nonlinear relaxation remains
2,linear_drift_corrected,190.0,3,64,-0.1756352329025899,-0.32392444798743214,0.002625550923253152,0.02781250596139004,0.193201282375977,linear common-drift sensitivity only; nonlinear relaxation remains
2,linear_drift_corrected,195.0,3,64,-0.16167624523283122,-0.26308098088218557,-0.03642145335050078,0.028372818373801678,0.18429019341655462,linear common-drift sensitivity only; nonlinear relaxation remains
2,linear_drift_corrected,200.0,3,64,-0.13157454054038997,-0.2806388062214532,0.0017470654863670568,0.02425501387411544,0.16666705053489483,linear common-drift sensitivity only; nonlinear relaxation remains
3,linear_drift_corrected,20.0,3,64,-8.279679986362675,-12.56111357377179,-3.705320168171578,14.965576813795451,100.48801501481512,linear common-drift sensitivity only; nonlinear relaxation remains
3,linear_drift_corrected,25.0,3,64,-8.214803528554516,-10.951427013027107,-5.314696844876043,13.60028058928674,77.25627904950875,linear common-drift sensitivity only; nonlinear relaxation remains
3,linear_drift_corrected,30.0,3,64,-7.9149037783975125,-9.906010239747939,-5.428122229664082,12.750597825427462,62.14422330402272,linear common-drift sensitivity only; nonlinear relaxation remains
3,linear_drift_corrected,35.0,3,64,-7.209040659018445,-8.987398285369,-5.4780096593286425,11.46684263807822,50.46117771798606,linear common-drift sensitivity only; nonlinear relaxation remains
3,linear_drift_corrected,40.0,3,64,-6.873071086141451,-8.068671261019412,-5.376992630858471,10.253047785864851,41.0648587767397,linear common-drift sensitivity only; nonlinear relaxation remains
3,linear_drift_corrected,45.0,3,64,-6.290249396245022,-7.063107973196277,-4.9522422521647,9.036405123963789,34.17381118548042,linear common-drift sensitivity only; nonlinear relaxation remains
3,linear_drift_corrected,50.0,3,64,-5.521607663978446,-6.288998995247072,-4.559186835910456,8.043261612863944,28.716541512050753,linear common-drift sensitivity only; nonlinear relaxation remains
3,linear_drift_corrected,55.0,3,64,-4.906898677262392,-5.5002773973697625,-4.104933231497763,7.0954953793860795,23.640462416830132,linear common-drift sensitivity only; nonlinear relaxation remains
3,linear_drift_corrected,60.0,3,64,-4.325035764195745,-4.801480763817944,-3.646427624452504,6.232377421565218,19.753457228682464,linear common-drift sensitivity only; nonlinear relaxation remains
3,linear_drift_corrected,65.0,3,64,-3.7279713002713577,-4.22929694318491,-3.1442647021451795,5.441784816739556,16.630897665970963,linear common-drift sensitivity only; nonlinear relaxation remains
3,linear_drift_corrected,70.0,3,64,-3.1899453581468675,-3.6426114349394756,-2.7877450173793004,4.684651476458498,13.941699442214201,linear common-drift sensitivity only; nonlinear relaxation remains
3,linear_drift_corrected,75.0,3,64,-2.734660964050753,-3.170700568455099,-2.35568957634547,4.047737080535796,11.804084792951215,linear common-drift sensitivity only; nonlinear relaxation remains
3,linear_drift_corrected,80.0,3,64,-2.283018062861206,-2.656945638437824,-1.9837950230255306,3.4211429234576656,10.16524614032896,linear common-drift sensitivity only; nonlinear relaxation remains
3,linear_drift_corrected,85.0,3,64,-1.8947753763812512,-2.211302528606703,-1.5922275004923434,2.8544867313791755,8.746361941165802,linear common-drift sensitivity only; nonlinear relaxation remains
3,linear_drift_corrected,90.0,3,64,-1.5629144014369727,-1.882946543692467,-1.3223311332807324,2.4051147187882194,7.386228504525917,linear common-drift sensitivity only; nonlinear relaxation remains
3,linear_drift_corrected,95.0,3,64,-1.2733462206284272,-1.5726195375610255,-1.048616646462056,1.9915278940205283,6.0627649679531,linear common-drift sensitivity only; nonlinear relaxation remains
3,linear_drift_corrected,100.0,3,64,-1.0239909136140732,-1.2836284420867476,-0.8206027898163036,1.6339095574167644,5.3137918797864,linear common-drift sensitivity only; nonlinear relaxation remains
3,linear_drift_corrected,105.0,3,64,-0.8627463558706389,-1.0389649722095873,-0.6809336011967377,1.2879866690758242,4.443157488454517,linear common-drift sensitivity only; nonlinear relaxation remains
3,linear_drift_corrected,110.0,3,64,-0.6850481100677672,-0.8489477327398526,-0.49282242677090426,1.0840086218267544,4.0791067687677085,linear common-drift sensitivity only; nonlinear relaxation remains
3,linear_drift_corrected,115.0,3,64,-0.5654339625033115,-0.7280787034627715,-0.34059032415145885,0.8781428837538101,3.7539379622905287,linear common-drift sensitivity only; nonlinear relaxation remains
3,linear_drift_corrected,120.0,3,64,-0.42943922872416035,-0.5798422341474676,-0.26316133473982084,0.7031835709819827,3.1765467635542137,linear common-drift sensitivity only; nonlinear relaxation remains
3,linear_drift_corrected,125.0,3,64,-0.3225085229228103,-0.47500636210413627,-0.1408050785322015,0.5502289485956577,2.8228102001137714,linear common-drift sensitivity only; nonlinear relaxation remains
3,linear_drift_corrected,130.0,3,64,-0.22561347805786788,-0.41638288227829384,-0.032684131956816534,0.4331151651253169,2.6133582697005124,linear common-drift sensitivity only; nonlinear relaxation remains
3,linear_drift_corrected,135.0,3,64,-0.18176190518057372,-0.3171170351575334,0.03763632292732561,0.3518156732012807,2.1301727635657386,linear common-drift sensitivity only; nonlinear relaxation remains
3,linear_drift_corrected,140.0,3,64,-0.08498430193842263,-0.2776936802789444,0.08096113651869771,0.2743629787772006,2.1667544091050175,linear common-drift sensitivity only; nonlinear relaxation remains
3,linear_drift_corrected,145.0,3,64,-0.02659126640640734,-0.19766849352557497,0.0849670816570122,0.2416662566589376,1.9098840060081343,linear common-drift sensitivity only; nonlinear relaxation remains
3,linear_drift_corrected,150.0,3,64,-0.016434168155403092,-0.13819312047941468,0.10171634525910861,0.1781783036684912,1.8070686523684198,linear common-drift sensitivity only; nonlinear relaxation remains
3,linear_drift_corrected,155.0,3,64,0.0272164027087858,-0.10577666811081085,0.15512369172230858,0.23320085480683606,1.8914323772638362,linear common-drift sensitivity only; nonlinear relaxation remains
3,linear_drift_corrected,160.0,3,64,0.04140818770360415,-0.11633268149222369,0.17198057387141819,0.25599952585941477,1.4758423514087706,linear common-drift sensitivity only; nonlinear relaxation remains
3,linear_drift_corrected,165.0,3,64,0.07697905672970162,-0.13115773952236218,0.19607927684417364,0.30084412847138187,1.7615494942303958,linear common-drift sensitivity only; nonlinear relaxation remains
3,linear_drift_corrected,170.0,3,64,0.06367668093932452,-0.07599006943260417,0.2191601604538027,0.2441834691101572,1.3794370144700578,linear common-drift sensitivity only; nonlinear relaxation remains
3,linear_drift_corrected,175.0,3,64,0.06414955642842321,-0.054054481675636507,0.25785701124711863,0.28469277682171423,1.2997413838720104,linear common-drift sensitivity only; nonlinear relaxation remains
3,linear_drift_corrected,180.0,3,64,0.08310828842508645,-0.07137015071696834,0.20783012735026057,0.2720863840018807,1.232530875977,linear common-drift sensitivity only; nonlinear relaxation remains
3,linear_drift_corrected,185.0,3,64,0.05494043360197409,-0.047161652449698194,0.2127006694128224,0.2287180310582242,1.230366545805205,linear common-drift sensitivity only; nonlinear relaxation remains
3,linear_drift_corrected,190.0,3,64,0.07725540291804833,-0.07468151229994896,0.19083574363209177,0.22391624869898563,1.6119052565156728,linear common-drift sensitivity only; nonlinear relaxation remains
3,linear_drift_corrected,195.0,3,64,0.055879159983925536,-0.0668975131060126,0.19970820264680506,0.2157201281718203,1.3286282176746465,linear common-drift sensitivity only; nonlinear relaxation remains
3,linear_drift_corrected,200.0,3,64,0.08210874618085581,-0.07275646752069881,0.1763225501468917,0.22306473019635847,1.3088838399135219,linear common-drift sensitivity only; nonlinear relaxation remains
4,linear_drift_corrected,20.0,3,64,-18.600514509177234,-20.261282447397356,-17.023258902665788,2.4332813870239534,4.2347350049931265,linear common-drift sensitivity only; nonlinear relaxation remains
4,linear_drift_corrected,25.0,3,64,-16.359568209083065,-17.4572824416528,-15.174832862822054,2.1894758758695616,3.3667255486041086,linear common-drift sensitivity only; nonlinear relaxation remains
4,linear_drift_corrected,30.0,3,64,-13.957261764401728,-14.905483109976984,-13.239901090160611,1.8901903180621389,2.695314662992587,linear common-drift sensitivity only; nonlinear relaxation remains
4,linear_drift_corrected,35.0,3,64,-11.83605171576569,-12.555536983497506,-11.33268475133534,1.6136485808170846,2.1104420608600094,linear common-drift sensitivity only; nonlinear relaxation remains
4,linear_drift_corrected,40.0,3,64,-9.777801878233511,-10.084293883409657,-9.14263532438101,1.320335881447761,1.7469128439942665,linear common-drift sensitivity only; nonlinear relaxation remains
4,linear_drift_corrected,45.0,3,64,-7.880642866368919,-8.241301856526631,-7.434330544948617,1.074075606543147,1.4730722302899721,linear common-drift sensitivity only; nonlinear relaxation remains
4,linear_drift_corrected,50.0,3,64,-6.265949277911044,-6.666799310916703,-5.940443216799381,0.851047830511277,1.1999380523663774,linear common-drift sensitivity only; nonlinear relaxation remains
4,linear_drift_corrected,55.0,3,64,-4.989504348079917,-5.239297668431831,-4.626119385740305,0.6654717587771444,0.9446099582122542,linear common-drift sensitivity only; nonlinear relaxation remains
4,linear_drift_corrected,60.0,3,64,-3.842735810242732,-4.12011681815004,-3.5697907994951166,0.5147308632726038,0.7592058902773431,linear common-drift sensitivity only; nonlinear relaxation remains
4,linear_drift_corrected,65.0,3,64,-3.0064413272104167,-3.1907262285536198,-2.6839282355757037,0.39756241969066153,0.6026204983273971,linear common-drift sensitivity only; nonlinear relaxation remains
4,linear_drift_corrected,70.0,3,64,-2.301941198627376,-2.5100675724446155,-1.960491452701505,0.29469838757251665,0.5245035073589008,linear common-drift sensitivity only; nonlinear relaxation remains
4,linear_drift_corrected,75.0,3,64,-1.74922909116584,-1.9345103092255582,-1.5026117848372822,0.21663399959745888,0.4282266318687178,linear common-drift sensitivity only; nonlinear relaxation remains
4,linear_drift_corrected,80.0,3,64,-1.3024202539812673,-1.480387782295242,-1.0761273804940705,0.15350243891648852,0.3503140297698195,linear common-drift sensitivity only; nonlinear relaxation remains
4,linear_drift_corrected,85.0,3,64,-0.969846335038938,-1.175984988133024,-0.7530921412065307,0.10864355889785848,0.30268836013876665,linear common-drift sensitivity only; nonlinear relaxation remains
4,linear_drift_corrected,90.0,3,64,-0.7263404892027159,-0.9204434114594079,-0.4791595654055902,0.07391915899958246,0.2632032636569619,linear common-drift sensitivity only; nonlinear relaxation remains
4,linear_drift_corrected,95.0,3,64,-0.5289983568805112,-0.7161909141272513,-0.2791569079385347,0.04302397644872702,0.23340618499846855,linear common-drift sensitivity only; nonlinear relaxation remains
4,linear_drift_corrected,100.0,3,64,-0.3934584792543422,-0.5939410250637749,-0.12173814256774397,0.02375549574202296,0.22104739695064346,linear common-drift sensitivity only; nonlinear relaxation remains
4,linear_drift_corrected,105.0,3,64,-0.2889918067155001,-0.46158604509431245,-0.05518853764946241,0.01647965492729525,0.19178447136677335,linear common-drift sensitivity only; nonlinear relaxation remains
4,linear_drift_corrected,110.0,3,64,-0.1907596833142075,-0.3658562058509787,0.02603266645171622,0.016351635337437997,0.16426770170165383,linear common-drift sensitivity only; nonlinear relaxation remains
4,linear_drift_corrected,115.0,3,64,-0.17284806368363076,-0.3000067722151396,0.043356450425047315,0.017677123208484247,0.13051788596389002,linear common-drift sensitivity only; nonlinear relaxation remains
4,linear_drift_corrected,120.0,3,64,-0.1228998412962623,-0.2644859906338229,0.09383272644929716,0.016813760541057654,0.14370487124913112,linear common-drift sensitivity only; nonlinear relaxation remains
4,linear_drift_corrected,125.0,3,64,-0.08123100292624957,-0.2350714267963796,0.125680244494945,0.014420045155613348,0.1390067721332784,linear common-drift sensitivity only; nonlinear relaxation remains
4,linear_drift_corrected,130.0,3,64,-0.07735914256058968,-0.22370555900667066,0.14154543949785334,0.015029966292186003,0.14025621764807106,linear common-drift sensitivity only; nonlinear relaxation remains
4,linear_drift_corrected,135.0,3,64,-0.05364952398321621,-0.17593732529326417,0.1735715307530901,0.016743978801987858,0.14319121762753895,linear common-drift sensitivity only; nonlinear relaxation remains
4,linear_drift_corrected,140.0,3,64,-0.01937030302638936,-0.172589256579268,0.1549153471154484,0.01388681305782491,0.140742146854965,linear common-drift sensitivity only; nonlinear relaxation remains
4,linear_drift_corrected,145.0,3,64,0.010133649254765436,-0.14852488628100008,0.17080198401140617,0.014874190219932526,0.13348365451869348,linear common-drift sensitivity only; nonlinear relaxation remains
4,linear_drift_corrected,150.0,3,64,0.03680490035693385,-0.10941623711188608,0.16219451564619206,0.009683306169245842,0.12773344996658054,linear common-drift sensitivity only; nonlinear relaxation remains
4,linear_drift_corrected,155.0,3,64,0.03951499430813342,-0.10377378344560309,0.21410669571284627,0.01213089145794255,0.12804755470347473,linear common-drift sensitivity only; nonlinear relaxation remains
4,linear_drift_corrected,160.0,3,64,0.026703311363334887,-0.10526054132942704,0.1769051476531408,0.011120899880273538,0.1199505821649609,linear common-drift sensitivity only; nonlinear relaxation remains
4,linear_drift_corrected,165.0,3,64,0.021961304622518395,-0.12175396686687688,0.19381228161842592,0.008815234058077381,0.11138386696435276,linear common-drift sensitivity only; nonlinear relaxation remains
4,linear_drift_corrected,170.0,3,64,0.04018101734296396,-0.07933050115978355,0.1788465653928889,0.010716194405731905,0.11920629319546627,linear common-drift sensitivity only; nonlinear relaxation remains
4,linear_drift_corrected,175.0,3,64,0.022904640663131047,-0.0935527214085943,0.1906249918790125,0.01169420154240508,0.1004644613698682,linear common-drift sensitivity only; nonlinear relaxation remains
4,linear_drift_corrected,180.0,3,64,0.03837962795560506,-0.07486825654389047,0.13335011434060778,0.009003252021002273,0.11366784702314536,linear common-drift sensitivity only; nonlinear relaxation remains
4,linear_drift_corrected,185.0,3,64,0.019004731566077012,-0.07982222326110025,0.16729491716003772,0.009297959396826538,0.12042218797308113,linear common-drift sensitivity only; nonlinear relaxation remains
4,linear_drift_corrected,190.0,3,64,0.03862428229987672,-0.1078610700768817,0.15067088271161108,0.01026771019812367,0.09843049724158881,linear common-drift sensitivity only; nonlinear relaxation remains
4,linear_drift_corrected,195.0,3,64,0.015046274574868129,-0.09054783965193008,0.14123285354808685,0.010720062305555889,0.11815587772596103,linear common-drift sensitivity only; nonlinear relaxation remains
4,linear_drift_corrected,200.0,3,64,0.009353538846824199,-0.06783204326014473,0.14826715158865994,0.006769391969532079,0.09662593268050923,linear common-drift sensitivity only; nonlinear relaxation remains
5,linear_drift_corrected,20.0,2,63,-28.157817393953852,-30.93835530359526,-18.78326499415832,2.5258406002781157,10.094289420032283,linear common-drift sensitivity only; nonlinear relaxation remains
