analysis_variant,observable,distance_nm,reference_distance_nm,unit,speed_low_um_per_s,speed_high_um_per_s,block_count,mean_delta_0p3_minus_0p1,block_delta_standard_deviation,paired_standard_error,descriptive_t95_low,descriptive_t95_high,absolute_mean_over_paired_standard_error,all_block_deltas_same_nonzero_sign,block_deltas,delta_definition,inference_boundary
shared_empirical_20_200,constant_gauge_invariant_force_shape,70.0,250.0,pN,0.1,0.3,4,-26.846798184763976,16.448060048161214,8.224030024080607,-53.01933214944615,-0.6742642200818025,3.264433386813331,True,-8.15733043691;-19.2285606058;-34.6046055484;-45.396696148,([F0.3(D)-F0.1(D)]-[F0.3(250nm)-F0.1(250nm)]) within each block,distance bins are correlated; four sequential blocks are the descriptive repeated units
shared_empirical_20_200,constant_gauge_invariant_force_shape,75.0,250.0,pN,0.1,0.3,4,-28.5401731317747,11.018995983101963,5.509497991550981,-46.07385465895719,-11.006491604592213,5.180176701315094,True,-20.4618941253;-18.1579675568;-34.5446374054;-40.9961934395,([F0.3(D)-F0.1(D)]-[F0.3(250nm)-F0.1(250nm)]) within each block,distance bins are correlated; four sequential blocks are the descriptive repeated units
shared_empirical_20_200,constant_gauge_invariant_force_shape,80.0,250.0,pN,0.1,0.3,4,-19.168855272729054,13.901604365338187,6.9508021826690936,-41.289409997726096,2.9516994522679916,2.7577903627474916,True,-7.8135856605;-6.98696075788;-27.3720437899;-34.5028308827,([F0.3(D)-F0.1(D)]-[F0.3(250nm)-F0.1(250nm)]) within each block,distance bins are correlated; four sequential blocks are the descriptive repeated units
shared_empirical_20_200,constant_gauge_invariant_force_shape,85.0,250.0,pN,0.1,0.3,4,-22.591566720942296,9.669685099570536,4.834842549785268,-37.97819353013757,-7.204939911747026,4.672658207234829,True,-21.8744807182;-13.2093165038;-19.2457210806;-36.0367485811,([F0.3(D)-F0.1(D)]-[F0.3(250nm)-F0.1(250nm)]) within each block,distance bins are correlated; four sequential blocks are the descriptive repeated units
shared_empirical_20_200,constant_gauge_invariant_force_shape,90.0,250.0,pN,0.1,0.3,4,-21.836927633468598,6.550915909356388,3.275457954678194,-32.26089669944817,-11.41295856748903,6.666831916520212,True,-17.3453398507;-16.3404059227;-23.0576403337;-30.6043244268,([F0.3(D)-F0.1(D)]-[F0.3(250nm)-F0.1(250nm)]) within each block,distance bins are correlated; four sequential blocks are the descriptive repeated units
shared_empirical_20_200,constant_gauge_invariant_force_shape,95.0,250.0,pN,0.1,0.3,4,-14.326012104329855,7.622341414687693,3.8111707073438463,-26.45485824072389,-2.1971659679358204,3.758953141806186,True,-5.52486499528;-10.4651640234;-19.7160350737;-21.5979843249,([F0.3(D)-F0.1(D)]-[F0.3(250nm)-F0.1(250nm)]) within each block,distance bins are correlated; four sequential blocks are the descriptive repeated units
shared_empirical_20_200,constant_gauge_invariant_force_shape,100.0,250.0,pN,0.1,0.3,4,-14.892795695544036,10.188350526903221,5.094175263451611,-31.104734941186102,1.319143550098028,2.923494957543583,True,-5.48839663954;-6.71687748325;-22.7926393485;-24.5732693109,([F0.3(D)-F0.1(D)]-[F0.3(250nm)-F0.1(250nm)]) within each block,distance bins are correlated; four sequential blocks are the descriptive repeated units
shared_empirical_20_200,constant_gauge_invariant_force_shape,105.0,250.0,pN,0.1,0.3,4,-15.57136662681711,10.614495532757369,5.307247766378684,-32.46139767215711,1.3186644185228928,2.933981474439808,True,-4.19453425532;-9.14396204286;-22.3802489775;-26.5667212315,([F0.3(D)-F0.1(D)]-[F0.3(250nm)-F0.1(250nm)]) within each block,distance bins are correlated; four sequential blocks are the descriptive repeated units
shared_empirical_20_200,constant_gauge_invariant_force_shape,110.0,250.0,pN,0.1,0.3,4,-18.957699005310324,8.616586793777012,4.308293396888506,-32.66861140831874,-5.246786602301912,4.400280403141014,True,-11.6868450992;-11.3803855222;-27.4357443616;-25.3278210382,([F0.3(D)-F0.1(D)]-[F0.3(250nm)-F0.1(250nm)]) within each block,distance bins are correlated; four sequential blocks are the descriptive repeated units
shared_empirical_20_200,constant_gauge_invariant_force_shape,115.0,250.0,pN,0.1,0.3,4,-15.714896803854636,6.930540589426952,3.465270294713476,-26.742933450076848,-4.686860157632426,4.534969992911913,True,-8.53105811634;-11.6540381844;-18.8096518579;-23.8648390567,([F0.3(D)-F0.1(D)]-[F0.3(250nm)-F0.1(250nm)]) within each block,distance bins are correlated; four sequential blocks are the descriptive repeated units
shared_empirical_20_200,constant_gauge_invariant_force_shape,120.0,250.0,pN,0.1,0.3,4,-15.434811989404777,8.425682267884785,4.212841133942392,-28.841952690869306,-2.0276712879402456,3.6637536281746335,True,-16.926564763;-10.4067666964;-7.73677853287;-26.6691379653,([F0.3(D)-F0.1(D)]-[F0.3(250nm)-F0.1(250nm)]) within each block,distance bins are correlated; four sequential blocks are the descriptive repeated units
shared_empirical_20_200,constant_gauge_invariant_force_shape,125.0,250.0,pN,0.1,0.3,4,-11.203144089306518,6.217848784582036,3.108924392291018,-21.097129034961192,-1.3091591436518453,3.603543436786745,True,-10.0691090424;-6.66246644433;-7.79630475074;-20.2846961198,([F0.3(D)-F0.1(D)]-[F0.3(250nm)-F0.1(250nm)]) within each block,distance bins are correlated; four sequential blocks are the descriptive repeated units
shared_empirical_20_200,constant_gauge_invariant_force_shape,130.0,250.0,pN,0.1,0.3,4,-12.143003305948897,9.913229293867028,4.956614646933514,-27.91716327580032,3.6311566639025266,2.4498582542545146,True,-13.4448890673;-4.57079057925;-4.88286657994;-25.6734669973,([F0.3(D)-F0.1(D)]-[F0.3(250nm)-F0.1(250nm)]) within each block,distance bins are correlated; four sequential blocks are the descriptive repeated units
shared_empirical_20_200,constant_gauge_invariant_force_shape,135.0,250.0,pN,0.1,0.3,4,-9.736564686358399,5.481823465464196,2.740911732732098,-18.459369103301952,-1.0137602694148455,3.5523087336537986,True,-4.14718767044;-12.2069792824;-6.39996999162;-16.192121801,([F0.3(D)-F0.1(D)]-[F0.3(250nm)-F0.1(250nm)]) within each block,distance bins are correlated; four sequential blocks are the descriptive repeated units
shared_empirical_20_200,constant_gauge_invariant_force_shape,140.0,250.0,pN,0.1,0.3,4,-9.665811072021528,4.1925502415292595,2.0962751207646297,-16.337094084958245,-2.99452805908481,4.610945851657039,True,-6.87145391649;-10.1572854192;-6.23299577404;-15.4015091783,([F0.3(D)-F0.1(D)]-[F0.3(250nm)-F0.1(250nm)]) within each block,distance bins are correlated; four sequential blocks are the descriptive repeated units
shared_empirical_20_200,constant_gauge_invariant_force_shape,145.0,250.0,pN,0.1,0.3,4,-5.911375422723758,4.7578177803075405,2.3789088901537703,-13.482125230801511,1.6593743853539946,2.484910391982962,True,-0.21425709383;-7.4306739379;-4.50614912286;-11.4944215363,([F0.3(D)-F0.1(D)]-[F0.3(250nm)-F0.1(250nm)]) within each block,distance bins are correlated; four sequential blocks are the descriptive repeated units
shared_empirical_20_200,constant_gauge_invariant_force_shape,150.0,250.0,pN,0.1,0.3,4,-6.079356498342451,2.0185786474900604,1.0092893237450302,-9.291365577657675,-2.867347419027227,6.023403156376037,True,-4.74045245793;-4.40377353946;-6.3455981744;-8.82760182158,([F0.3(D)-F0.1(D)]-[F0.3(250nm)-F0.1(250nm)]) within each block,distance bins are correlated; four sequential blocks are the descriptive repeated units
shared_empirical_20_200,constant_gauge_invariant_force_shape,155.0,250.0,pN,0.1,0.3,4,-6.616716891892905,4.068505288944652,2.034252644472326,-13.0906167043086,-0.14281707947720967,3.252652471595653,True,-10.3769373823;-2.90356501394;-3.2969466167;-9.88941855467,([F0.3(D)-F0.1(D)]-[F0.3(250nm)-F0.1(250nm)]) within each block,distance bins are correlated; four sequential blocks are the descriptive repeated units
shared_empirical_20_200,constant_gauge_invariant_force_shape,160.0,250.0,pN,0.1,0.3,4,-4.633249341121386,7.896705060615537,3.9483525303077687,-17.198669263159115,7.932170580916342,1.17346394617915,False,-7.53382773037;1.4198533271;-14.4875318017;2.06850884052,([F0.3(D)-F0.1(D)]-[F0.3(250nm)-F0.1(250nm)]) within each block,distance bins are correlated; four sequential blocks are the descriptive repeated units
shared_empirical_20_200,constant_gauge_invariant_force_shape,165.0,250.0,pN,0.1,0.3,4,-3.9200309418373394,9.078665039333027,4.539332519666513,-18.36621294750674,10.52615106383206,0.8635699025911696,False,4.28686872249;3.49495298673;-12.937136996;-10.5248084806,([F0.3(D)-F0.1(D)]-[F0.3(250nm)-F0.1(250nm)]) within each block,distance bins are correlated; four sequential blocks are the descriptive repeated units
shared_empirical_20_200,constant_gauge_invariant_force_shape,170.0,250.0,pN,0.1,0.3,4,-0.4813791632836093,4.825645249868418,2.412822624934209,-8.16005761131176,7.197299284744541,0.19950872405995246,False,4.80948659198;-1.82813211433;-6.47061986383;1.56374873305,([F0.3(D)-F0.1(D)]-[F0.3(250nm)-F0.1(250nm)]) within each block,distance bins are correlated; four sequential blocks are the descriptive repeated units
shared_empirical_20_200,constant_gauge_invariant_force_shape,175.0,250.0,pN,0.1,0.3,4,-6.167901708197027,4.745710361188382,2.372855180594191,-13.719385910653632,1.3835824942595787,2.5993586792146797,False,0.688084461151;-9.14563551034;-6.66248041347;-9.55157537012,([F0.3(D)-F0.1(D)]-[F0.3(250nm)-F0.1(250nm)]) within each block,distance bins are correlated; four sequential blocks are the descriptive repeated units
shared_empirical_20_200,constant_gauge_invariant_force_shape,180.0,250.0,pN,0.1,0.3,4,-3.992674330269958,3.764453040667336,1.882226520333668,-9.982759165613896,1.9974105050739785,2.1212507034287054,False,-4.67358078973;-4.45909636296;-7.95629757964;1.11827741124,([F0.3(D)-F0.1(D)]-[F0.3(250nm)-F0.1(250nm)]) within each block,distance bins are correlated; four sequential blocks are the descriptive repeated units
shared_empirical_20_200,constant_gauge_invariant_force_shape,185.0,250.0,pN,0.1,0.3,4,-4.439717796205898,7.218172305185113,3.6090861525925564,-15.925440687976675,7.04600509556488,1.2301501290061096,False,2.22194674163;0.678838483538;-7.4713460708;-13.1883103392,([F0.3(D)-F0.1(D)]-[F0.3(250nm)-F0.1(250nm)]) within each block,distance bins are correlated; four sequential blocks are the descriptive repeated units
shared_empirical_20_200,constant_gauge_invariant_force_shape,190.0,250.0,pN,0.1,0.3,4,-0.48380587217608095,4.757181494609368,2.378590747304684,-8.053543207719205,7.085931463367044,0.20340021616762313,False,2.09518877265;0.787663807191;-7.5184137808;2.70033771226,([F0.3(D)-F0.1(D)]-[F0.3(250nm)-F0.1(250nm)]) within each block,distance bins are correlated; four sequential blocks are the descriptive repeated units
shared_empirical_20_200,constant_gauge_invariant_force_shape,195.0,250.0,pN,0.1,0.3,4,-5.291245252836955,4.656534693684146,2.328267346842073,-12.700831068508503,2.118340562834594,2.272610686231413,True,-0.561872754771;-2.0345106352;-8.9779427813;-9.59065484008,([F0.3(D)-F0.1(D)]-[F0.3(250nm)-F0.1(250nm)]) within each block,distance bins are correlated; four sequential blocks are the descriptive repeated units
shared_empirical_20_200,constant_gauge_invariant_force_shape,200.0,250.0,pN,0.1,0.3,4,-1.8411791214340596,7.409602248611655,3.7048011243058276,-13.631509771294123,9.949151528426004,0.49697110847725817,False,-2.45136047605;6.38133552607;-11.4676008719;0.172909336186,([F0.3(D)-F0.1(D)]-[F0.3(250nm)-F0.1(250nm)]) within each block,distance bins are correlated; four sequential blocks are the descriptive repeated units
shared_empirical_20_200,constant_gauge_invariant_force_shape,205.0,250.0,pN,0.1,0.3,4,-0.6673113610526364,4.1416903740958855,2.0708451870479427,-7.25766497538906,5.923042253283787,0.32224106622084603,False,-3.03687263269;2.48999474765;-5.27823986271;3.15587230353,([F0.3(D)-F0.1(D)]-[F0.3(250nm)-F0.1(250nm)]) within each block,distance bins are correlated; four sequential blocks are the descriptive repeated units
shared_empirical_20_200,constant_gauge_invariant_force_shape,210.0,250.0,pN,0.1,0.3,4,-3.830403664206292,6.886757265139649,3.4433786325698246,-14.788771271122908,7.127963942710323,1.1123968848431947,False,-0.461460688665;-5.67765203233;-12.5399111173;3.3574091815,([F0.3(D)-F0.1(D)]-[F0.3(250nm)-F0.1(250nm)]) within each block,distance bins are correlated; four sequential blocks are the descriptive repeated units
shared_empirical_20_200,constant_gauge_invariant_force_shape,215.0,250.0,pN,0.1,0.3,4,0.2940679189171984,0.9942205246584419,0.49711026232922095,-1.2879587987513215,1.8760946365857183,0.591554713715498,False,1.23814276066;-1.10030244702;0.63857710946;0.399854252571,([F0.3(D)-F0.1(D)]-[F0.3(250nm)-F0.1(250nm)]) within each block,distance bins are correlated; four sequential blocks are the descriptive repeated units
shared_empirical_20_200,constant_gauge_invariant_force_shape,220.0,250.0,pN,0.1,0.3,4,-2.4904789387532755,4.019339877129083,2.0096699385645413,-8.88614560957885,3.9051877320723003,1.2392477445983814,False,-6.63147514293;2.30355077282;-4.83212376831;-0.801867616583,([F0.3(D)-F0.1(D)]-[F0.3(250nm)-F0.1(250nm)]) within each block,distance bins are correlated; four sequential blocks are the descriptive repeated units
shared_empirical_20_200,constant_gauge_invariant_force_shape,225.0,250.0,pN,0.1,0.3,4,1.234797168273479,5.773304986919288,2.886652493459644,-7.95181939417677,10.421413730723728,0.42776093453271147,False,-1.97441322735;5.62212283853;-5.25983053956;6.55130960148,([F0.3(D)-F0.1(D)]-[F0.3(250nm)-F0.1(250nm)]) within each block,distance bins are correlated; four sequential blocks are the descriptive repeated units
shared_empirical_20_200,constant_gauge_invariant_force_shape,230.0,250.0,pN,0.1,0.3,4,-0.30336255196449535,4.763110134796535,2.3815550673982675,-7.8825336770371255,7.275808573108135,0.12738002833413553,False,0.263316370731;-2.26491094019;-5.21485048647;6.00299484807,([F0.3(D)-F0.1(D)]-[F0.3(250nm)-F0.1(250nm)]) within each block,distance bins are correlated; four sequential blocks are the descriptive repeated units
shared_empirical_20_200,constant_gauge_invariant_force_shape,235.0,250.0,pN,0.1,0.3,4,-0.8748843623537041,7.214886773533016,3.607443386766508,-12.355379240090926,10.605610515383518,0.2425219937097605,False,0.363729652804;6.89480198583;-10.5600983884;-0.197970699657,([F0.3(D)-F0.1(D)]-[F0.3(250nm)-F0.1(250nm)]) within each block,distance bins are correlated; four sequential blocks are the descriptive repeated units
shared_empirical_20_200,constant_gauge_invariant_force_shape,240.0,250.0,pN,0.1,0.3,4,0.3647287565417603,7.694781802479352,3.847390901239676,-11.879386202092737,12.608843715176258,0.09479898609320936,False,-5.71446791539;10.9733018847;-4.88935066633;1.08943172319,([F0.3(D)-F0.1(D)]-[F0.3(250nm)-F0.1(250nm)]) within each block,distance bins are correlated; four sequential blocks are the descriptive repeated units
shared_empirical_20_200,constant_gauge_invariant_force_shape,245.0,250.0,pN,0.1,0.3,4,5.109332124311527,4.142341930614297,2.0711709653071484,-1.4820582618422478,11.700722510465301,2.4668809141759227,True,1.14301870741;6.30148017428;2.59281812172;10.4000114938,([F0.3(D)-F0.1(D)]-[F0.3(250nm)-F0.1(250nm)]) within each block,distance bins are correlated; four sequential blocks are the descriptive repeated units
shared_empirical_20_200,constant_gauge_invariant_force_shape,250.0,250.0,pN,0.1,0.3,4,0.0,0.0,0.0,0.0,0.0,nan,False,0;0;0;0,([F0.3(D)-F0.1(D)]-[F0.3(250nm)-F0.1(250nm)]) within each block,distance bins are correlated; four sequential blocks are the descriptive repeated units
